date,orders_count,conversion_rate,churn_rate,defect_rate,orders_target
2025-01-01,98,0.0397,0.0159,0.0025,95
2025-01-02,86,0.0394,0.0151,0.0049,95
2025-01-03,131,0.0433,0.0101,0.0106,95
2025-01-04,94,0.0516,0.0178,0.0015,95
2025-01-05,68,0.0469,0.0048,0.0077,95
2025-01-06,69,0.0656,0.0128,0.0109,95
2025-01-07,77,0.0471,0.013,0.0065,95
2025-01-08,103,0.0595,0.0136,0.009,95
2025-01-09,87,0.0478,0.0165,0.0035,95
2025-01-10,80,0.0511,0.0089,0.0132,95
2025-01-11,72,0.0306,0.0179,0.0124,95
2025-01-12,57,0.0437,0.0141,0.0089,95
2025-01-13,52,0.0443,0.0117,0.001,95
2025-01-14,83,0.0426,0.0082,0.0038,95
2025-01-15,101,0.0235,0.0091,0.0119,95
2025-01-16,93,0.0538,0.0168,0.0149,95
2025-01-17,81,0.0411,0.0102,0.0092,95
2025-01-18,85,0.0406,0.0153,0.013,95
2025-01-19,81,0.0424,0.0203,0.0056,95
2025-01-20,57,0.0427,0.0202,0.0072,95
2025-01-21,85,0.0491,0.0228,0.008,95
2025-01-22,82,0.0323,0.0135,0.0097,95
2025-01-23,97,0.0357,0.0096,0.0019,95
2025-01-24,83,0.0479,0.0201,0.0118,95
2025-01-25,89,0.0465,0.0165,0.0133,95
2025-01-26,46,0.0412,0.0206,0.0034,95
2025-01-27,62,0.0393,0.0151,0.0026,95
2025-01-28,72,0.0367,0.021,0.0094,95
2025-01-29,75,0.0444,0.0192,0.0054,95
2025-01-30,86,0.0568,0.0186,0.0,95
2025-01-31,96,0.0344,0.0175,0.0112,95
2025-02-01,110,0.0602,0.017,0.0086,95
2025-02-02,58,0.0534,0.0162,0.0061,95
2025-02-03,54,0.0405,0.0161,0.0165,95
2025-02-04,79,0.0528,0.02,0.0086,95
2025-02-05,75,0.0303,0.0124,0.005,95
2025-02-06,103,0.0277,0.0237,0.0084,95
2025-02-07,148,0.0321,0.0145,0.0038,95
2025-02-08,95,0.0409,0.0199,0.005,95
2025-02-09,57,0.0417,0.0145,0.0095,95
2025-02-10,59,0.0398,0.0138,0.0058,95
2025-02-11,96,0.046,0.0252,0.0062,95
2025-02-12,99,0.0236,0.0135,0.0147,95
2025-02-13,155,0.05,0.0086,0.0114,95
2025-02-14,101,0.0308,0.0114,0.0112,95
2025-02-15,111,0.0384,0.0134,0.0101,95
