order_id,order_date,customer_id,product_id,qty,unit_price_usd,discount_rate,revenue_usd,region,segment,category
200000,2025-01-01,10163,5056,3,918.37,0.0,2755.11,NA,Enterprise,Desktop
200001,2025-01-01,10118,5026,1,689.98,0.0,689.98,NA,Enterprise,Tablet
200002,2025-01-01,10073,5039,1,911.36,0.1,820.22,EU,SMB,Laptop
200003,2025-01-01,10019,5052,1,890.58,0.0,890.58,LATAM,Enterprise,Desktop
200004,2025-01-01,10227,5005,1,1105.78,0.0,1105.78,EU,Enterprise,Desktop
200005,2025-01-01,10102,5039,2,911.36,0.0,1822.72,EU,Consumer,Laptop
200006,2025-01-01,10398,5035,1,20.0,0.0,20.0,LATAM,SMB,Accessory
200007,2025-01-01,10381,5049,5,914.25,0.0,4571.25,NA,SMB,Desktop
200008,2025-01-01,10128,5014,1,1095.2,0.0,1095.2,NA,Enterprise,Laptop
200009,2025-01-01,10003,5030,2,1140.76,0.0,2281.52,NA,SMB,Desktop
200010,2025-01-01,10298,5050,1,1215.9,0.0,1215.9,APAC,SMB,Laptop
200011,2025-01-01,10290,5006,1,1157.92,0.2,926.34,NA,Enterprise,Laptop
200012,2025-01-01,10142,5021,2,1155.14,0.05,2194.77,EU,SMB,Laptop
200013,2025-01-01,10315,5001,1,594.76,0.05,565.02,APAC,Enterprise,Tablet
200014,2025-01-01,10046,5001,2,594.76,0.0,1189.52,NA,SMB,Tablet
200015,2025-01-01,10161,5003,1,762.05,0.0,762.05,LATAM,Enterprise,Desktop
200016,2025-01-01,10083,5039,2,911.36,0.0,1822.72,NA,Consumer,Laptop
200017,2025-01-01,10238,5020,1,1103.76,0.0,1103.76,EU,SMB,Desktop
200018,2025-01-01,10027,5059,1,424.5,0.0,424.5,LATAM,SMB,Tablet
200019,2025-01-01,10088,5020,3,1103.76,0.0,3311.28,NA,Consumer,Desktop
200020,2025-01-01,10063,5044,2,1032.57,0.0,2065.14,NA,Enterprise,Desktop
200021,2025-01-01,10267,5033,2,1338.94,0.0,2677.88,NA,Consumer,Laptop
200022,2025-01-01,10164,5057,2,1444.79,0.0,2889.58,EU,Enterprise,Laptop
200023,2025-01-01,10283,5033,2,1338.94,0.0,2677.88,EU,SMB,Laptop
200024,2025-01-01,10051,5006,1,1157.92,0.1,1042.13,EU,SMB,Laptop
200025,2025-01-01,10293,5018,2,1117.17,0.0,2234.34,EU,Enterprise,Laptop
200026,2025-01-01,10231,5017,1,1101.42,0.2,881.14,APAC,Consumer,Laptop
200027,2025-01-01,10196,5038,1,256.49,0.0,256.49,NA,Enterprise,Accessory
200028,2025-01-01,10153,5046,1,1336.43,0.0,1336.43,APAC,Enterprise,Laptop
200029,2025-01-01,10388,5004,2,1164.41,0.0,2328.82,APAC,Enterprise,Laptop
200030,2025-01-01,10253,5027,1,1124.4,0.0,1124.4,NA,Enterprise,Laptop
200031,2025-01-01,10346,5053,1,1123.09,0.0,1123.09,APAC,SMB,Laptop
200032,2025-01-01,10101,5010,1,94.27,0.0,94.27,EU,Consumer,Accessory
200033,2025-01-01,10228,5034,1,1110.44,0.0,1110.44,APAC,SMB,Laptop
200034,2025-01-01,10278,5020,1,1103.76,0.0,1103.76,APAC,Consumer,Desktop
200035,2025-01-01,10272,5027,1,1124.4,0.0,1124.4,EU,Enterprise,Laptop
200036,2025-01-01,10175,5017,1,1101.42,0.0,1101.42,NA,Enterprise,Laptop
200037,2025-01-01,10109,5054,1,695.11,0.0,695.11,EU,Enterprise,Tablet
200038,2025-01-01,10131,5042,2,1172.75,0.0,2345.5,EU,Enterprise,Laptop
200039,2025-01-01,10377,5035,1,20.0,0.0,20.0,EU,SMB,Accessory
200040,2025-01-01,10100,5046,1,1336.43,0.0,1336.43,LATAM,SMB,Laptop
200041,2025-01-01,10258,5033,2,1338.94,0.0,2677.88,EU,Enterprise,Laptop
200042,2025-01-01,10275,5044,1,1032.57,0.0,1032.57,APAC,Consumer,Desktop
200043,2025-01-01,10357,5052,1,890.58,0.0,890.58,EU,Enterprise,Desktop
200044,2025-01-01,10164,5040,1,1067.18,0.0,1067.18,EU,Enterprise,Laptop
200045,2025-01-01,10115,5002,2,1208.9,0.0,2417.8,APAC,SMB,Desktop
200046,2025-01-01,10029,5044,2,1032.57,0.15,1755.37,EU,SMB,Desktop
200047,2025-01-01,10392,5011,3,1492.86,0.0,4478.58,APAC,Consumer,Laptop
200048,2025-01-01,10174,5055,1,1241.89,0.0,1241.89,NA,SMB,Laptop
200049,2025-01-01,10042,5020,2,1103.76,0.0,2207.52,EU,Enterprise,Desktop
200050,2025-01-01,10023,5015,2,1151.43,0.0,2302.86,NA,SMB,Laptop
200051,2025-01-01,10212,5056,1,918.37,0.0,918.37,NA,Consumer,Desktop
200052,2025-01-01,10186,5016,1,1120.53,0.0,1120.53,NA,Consumer,Desktop
200053,2025-01-01,10044,5057,3,1444.79,0.15,3684.21,EU,Enterprise,Laptop
200054,2025-01-01,10354,5058,1,1277.1,0.0,1277.1,NA,Enterprise,Desktop
200055,2025-01-01,10075,5048,1,599.98,0.0,599.98,APAC,SMB,Tablet
200056,2025-01-01,10151,5052,1,890.58,0.0,890.58,APAC,SMB,Desktop
200057,2025-01-01,10305,5051,1,1026.49,0.0,1026.49,EU,Enterprise,Desktop
200058,2025-01-01,10175,5039,2,911.36,0.0,1822.72,NA,Enterprise,Laptop
200059,2025-01-01,10026,5052,1,890.58,0.0,890.58,EU,SMB,Desktop
200060,2025-01-01,10267,5047,2,343.27,0.0,686.54,NA,Consumer,Tablet
200061,2025-01-01,10153,5001,1,594.76,0.0,594.76,APAC,Enterprise,Tablet
200062,2025-01-01,10293,5038,2,256.49,0.0,512.98,EU,Enterprise,Accessory
200063,2025-01-01,10076,5059,5,424.5,0.0,2122.5,LATAM,SMB,Tablet
200064,2025-01-01,10241,5018,1,1117.17,0.0,1117.17,NA,SMB,Laptop
200065,2025-01-01,10340,5057,2,1444.79,0.0,2889.58,NA,SMB,Laptop
200066,2025-01-01,10092,5033,3,1338.94,0.0,4016.82,EU,Consumer,Laptop
200067,2025-01-01,10032,5044,1,1032.57,0.0,1032.57,NA,SMB,Desktop
200068,2025-01-01,10192,5014,2,1095.2,0.0,2190.4,NA,Consumer,Laptop
200069,2025-01-01,10134,5027,1,1124.4,0.0,1124.4,LATAM,SMB,Laptop
200070,2025-01-01,10248,5005,1,1105.78,0.0,1105.78,APAC,Enterprise,Desktop
200071,2025-01-01,10342,5036,1,1186.84,0.0,1186.84,APAC,SMB,Laptop
200072,2025-01-01,10370,5020,1,1103.76,0.0,1103.76,NA,Consumer,Desktop
200073,2025-01-01,10274,5030,2,1140.76,0.0,2281.52,NA,SMB,Desktop
200074,2025-01-01,10373,5048,3,599.98,0.0,1799.94,LATAM,SMB,Tablet
200075,2025-01-01,10281,5044,2,1032.57,0.0,2065.14,NA,SMB,Desktop
200076,2025-01-01,10374,5008,2,1168.09,0.0,2336.18,NA,Enterprise,Laptop
200077,2025-01-01,10396,5031,1,461.86,0.0,461.86,APAC,SMB,Tablet
200078,2025-01-01,10073,5002,4,1208.9,0.0,4835.6,EU,SMB,Desktop
200079,2025-01-01,10009,5031,2,461.86,0.0,923.72,EU,Consumer,Tablet
200080,2025-01-01,10001,5014,1,1095.2,0.0,1095.2,APAC,Consumer,Laptop
200081,2025-01-01,10265,5026,2,689.98,0.0,1379.96,NA,Enterprise,Tablet
200082,2025-01-01,10144,5047,1,343.27,0.05,326.11,NA,SMB,Tablet
200083,2025-01-01,10297,5015,1,1151.43,0.0,1151.43,APAC,SMB,Laptop
200084,2025-01-01,10346,5052,3,890.58,0.0,2671.74,APAC,SMB,Desktop
200085,2025-01-01,10299,5004,1,1164.41,0.0,1164.41,NA,Enterprise,Laptop
200086,2025-01-01,10161,5016,1,1120.53,0.0,1120.53,LATAM,Enterprise,Desktop
200087,2025-01-01,10285,5044,1,1032.57,0.0,1032.57,NA,Enterprise,Desktop
200088,2025-01-01,10277,5057,2,1444.79,0.0,2889.58,APAC,SMB,Laptop
200089,2025-01-01,10028,5013,2,1066.92,0.0,2133.84,EU,SMB,Laptop
200090,2025-01-01,10018,5028,1,657.76,0.0,657.76,EU,SMB,Tablet
200091,2025-01-01,10033,5006,3,1157.92,0.0,3473.76,NA,SMB,Laptop
200092,2025-01-01,10213,5041,1,1167.65,0.0,1167.65,EU,SMB,Laptop
200093,2025-01-01,10309,5001,1,594.76,0.0,594.76,APAC,SMB,Tablet
200094,2025-01-01,10331,5040,3,1067.18,0.0,3201.54,EU,SMB,Laptop
